투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
9506,152290,20210625,투자 단계 비공개,,,2021 예비창업패키지,,,,7741
9504,103488,20191101,투자 단계 비공개,250000,,,,,,
9449,146432,20210601,투자 단계 비공개,121000000,,,,,,7741
9503,134720,20210801,Seed,,,,플래텀,육아 성장 플랫폼 ‘쑥쑥찰칵’ 운영사 제제미미|| 스프링캠프에서 투자 유치                                                                                                                                                                                                                                                                    ,https://platum.kr/archives/169067,20737
9419,113474,20211028,Series A,7000000000,,,플래텀,‘AI 에듀테크 기업’ 튜링|| 70억 원 규모 시리즈A 투자 유치                                                                                                                                                                                                                                                                        ,https://news.mt.co.kr/mtview.php?no=2021092816290135152,7858||149518||7783||25616
9476,125179,20200601,투자 단계 비공개,50000000,,,,,,
9496,73779,20211001,투자 단계 비공개,7000000000,,,,,,31769||116416
9470,75258,20190615,투자 단계 비공개,300000000,,,,,,
9472,75258,20210317,투자 단계 비공개,300000000,,,,,,
8441,87644,20191101,투자 단계 비공개,,,,,,,
9471,75258,20210825,투자 단계 비공개,2040000000,,,,,,
9469,126391,20211008,투자 단계 비공개,1000000000,8000000000,,파이낸셜뉴스,'가상자산 투자' 백두테크놀로지스|| 미래에셋에서 10억 투자 유치                                                                                                                                                                                                                                                                        ,https://n.news.naver.com/article/014/0004720635,7795
9377,143779,20210115,Series A,1440000000,,,벤처스퀘어,게임 개발사 ‘엔퓨전’|| 글로벌 투자 유치                                                                                                                                                                                                                                                                                     ,https://www.venturesquare.net/829955,157199
9305,12273,20181019,투자 단계 비공개,,,,,,,1339
9454,154982,20171023,투자 단계 비공개,200000000,,,,,,
9460,154982,20200928,투자 단계 비공개,5000000,,,,,,
9466,154982,20210720,투자 단계 비공개,,,,,,,
9462,154982,20210607,투자 단계 비공개,999000000,,,,,,
9455,154982,20180424,투자 단계 비공개,799000000,,,,,,
9458,154982,20200302,투자 단계 비공개,999000000,,,,,,
9393,6291,20211005,Seed,,,,,,,1233||7772
9368,50,20210928,Series B,13000000000,,,플래텀,클린테크 스타트업 ‘이큐브랩’|| 130억 원 규모 시리즈 B 투자유치                                                                                                                                                                                                                                                                      ,https://platum.kr/archives/171791,7812||136511||116416||149469
9465,154982,20210720,투자 단계 비공개,499000000,,,,,,
9453,154982,20170630,투자 단계 비공개,90000000,,,,,,
9461,154982,20201023,투자 단계 비공개,999900000,,,,,,
9451,93758,20210830,투자 단계 비공개,,10000000000,,,,,
9447,133255,20210831,Series A,12500000000,,,아주경제,네이버|| 물류 IT 스타트업 ‘테크타카’에 추가 투자                                                                                                                                                                                                                                                                               ,https://www.ajunews.com/view/20211019082253750,8581||1233||24627||83882||20428||7795||7700
9415,152442,20211008,투자 단계 비공개,,2000000000,,,,,20737
9410,135840,20210924,Seed,,,,,,,127212||7701
9448,158250,20211201,Angel,200000000,,포스코 사내 벤처,,,,6814
9443,115660,20210802,투자 단계 비공개,,,,,,,100825
9441,122356,20210113,Seed,300000000,,,중앙 일보,치과의사 커뮤니티 데니어|| 하나벤처스 투자 유치                                                                                                                                                                                                                                                                                  ,https://www.joongang.co.kr/article/23975894,101866
9373,73213,20210819,Seed,300000000,,,,,,112172
9386,121148,20210601,Seed,500000000,,,,,,1233||8581||7772
9445,84532,20211001,Series A,6000000000,,,,,,7714||137172||11897||7716||2529||20142
9440,158010,20200312,투자 단계 비공개,249999999,2000000000,,,,,22896
9367,135739,20210401,투자 단계 비공개,,,,,,,151432
9389,2002,20210929,Series A,,,,,,,7698
9369,157057,20210907,Seed,400000000,3100000000,,,,,1233
2035,21525,20040907,투자 단계 비공개,600000000,,,,트루윈테크놀로지 50만弗투자유치                                                                                                                                                                                                                                                                                           ,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=089&aid=0000000480,21634
9358,127150,20210630,투자 단계 비공개,,,,패션인사이트,스포츠웨어 ‘웨이브컴퍼니’ 美매스챌린지 파이널 진출                                                                                                                                                                                                                                                                                ,http://www.fi.co.kr/main/view.asp?idx=72054,39181
9378,143779,20191028,Seed,550000000,,,인벤,엔퓨전|| 시너지 IB투자·빅뱅엔젤스 투자 유치 성공                                                                                                                                                                                                                                                                                ,https://sports.news.naver.com/news.nhn?oid=442&aid=0000108880,25145||8460
9439,119895,20210914,투자 단계 비공개,,,,,,,141791
9437,153310,20200801,Seed,151000000,,예비창업패키지|| 초기창업패키지를 통한 정부보조금/ 내년 Series A 투자 유치 준비 중,,,,89554
6618,112190,20190101,Series A,5000000000,,,매일경제,㈜코리아런드리 `워시엔조이`|| NHN으로부터 50억 원 투자 받아                                                                                                                                                                                                                                                                        ,https://www.mk.co.kr/news/business/view/2019/05/333767/,13379
9464,154982,20210607,투자 단계 비공개,999000000,,,,,,
9459,154982,20200921,투자 단계 비공개,6000000,,,,,,
9417,152442,20210401,투자 단계 비공개,86000000,,,,,,96378||7823
9463,154982,20210607,투자 단계 비공개,999000000,,,,,,
9456,158397,20200227,투자 단계 비공개,1000000000,,,,,,
9423,151971,20211001,Seed,200000000,,누적 투자 금액 11억원,,,,
