누적투자유치금액,기업추천수,투자단계명,투자금액,앱스토어 등록,구글플레이 등록,기술스택_개수,산업구분명_분류,IT기업 여부,2017년 이후 설립 여부,수도권 여부,투자성공여부,누적투자유치금액_투자금액_차이,투자단계명_숫자
10000000000.0,39,Series B,10000000000.0,0,0,23,IT,1,0,1,1,0.0,5
40800000000.0,21,Seed,2400000000.0,0,0,16,IT,1,1,1,1,38400000000.0,3
1560000000.0,5,Seed,2396568300.8753204,1,1,18,None IT,0,1,1,1,-836568300.8753204,3
26880000000.0,25,Series B,13000000000.0,0,0,47,IT,1,0,1,1,13880000000.0,5
6900000000.0,17,Series A,5000000000.0,0,0,24,IT,1,0,1,1,1900000000.0,4
2000000000.0,0,Series A,1000000000.0,0,0,14,None IT,0,0,1,1,1000000000.0,4
14000000000.0,41,Series A,2500000000.0,0,0,39,None IT,0,0,1,1,11500000000.0,4
10002125.0,8,투자 단계 비공개,10002125.0,1,1,13,IT,1,1,1,1,0.0,1
3000000000.0,11,투자 단계 비공개,3000000000.0,1,1,27,IT,1,0,1,1,0.0,1
2500000000.0,6,투자 단계 비공개,2500000000.0,1,1,42,IT,1,0,1,0,0.0,1
414000000.0,0,투자 단계 비공개,120000000.0,0,0,1,IT,1,0,0,0,294000000.0,1
530000000.0,3,Seed,30000000.0,0,0,14,IT,1,1,1,1,500000000.0,3
300000000.0,0,Angel,300000000.0,0,0,1,IT,1,0,1,0,0.0,2
100000000.0,8,Seed,100000000.0,0,0,17,IT,1,1,1,1,0.0,3
2000000000.0,11,Series A,2000000000.0,0,1,20,IT,1,1,1,1,0.0,4
1459000000.0,6,투자 단계 비공개,15000000.0,1,1,24,IT,1,0,1,1,1444000000.0,1
144800000.0,0,Angel,35000000.0,0,0,1,None IT,0,1,1,1,109800000.0,2
100000000.0,0,Angel,100000000.0,1,1,1,None IT,0,1,1,1,0.0,2
1200000000.0,6,Seed,2396568300.8753204,0,0,11,None IT,0,1,1,1,-1196568300.8753204,3
